matrix_dim, etime, flops, cores, nodes
16384, 355.193760, 24764210447.300652, 28, 16
16384, 354.878286, 24786224937.436718, 28, 16
16384, 355.039802, 24774949097.701447, 28, 16
16384, 355.477028, 24744476659.144341, 28, 16
16384, 354.679293, 24800131261.702950, 28, 16
16384, 354.768638, 24793885592.017860, 28, 16
16384, 354.696963, 24798895789.271252, 28, 16
16384, 355.377548, 24751403322.215504, 28, 16
16384, 354.840775, 24788845143.876152, 28, 16
16384, 354.228559, 24831687899.585758, 28, 16
16384, 307.719332, 28584791748.501518, 28, 32
16384, 308.923046, 28473411537.603447, 28, 32
16384, 308.357126, 28525668066.474327, 28, 32
16384, 308.636868, 28499812997.739468, 28, 32
16384, 307.970678, 28561462666.936100, 28, 32
16384, 308.186150, 28541493581.745968, 28, 32
16384, 309.037778, 28462840624.643631, 28, 32
16384, 308.394783, 28522184897.686806, 28, 32
16384, 308.171667, 28542834932.998562, 28, 32
16384, 310.101070, 28365245634.940891, 28, 32
16384, 475.182636, 18510973162.344257, 28, 4
16384, 474.854051, 18523782209.890003, 28, 4
16384, 475.433504, 18501205632.760788, 28, 4
16384, 476.492503, 18460086920.209110, 28, 4
16384, 475.736803, 18489410461.288193, 28, 4
16384, 476.694576, 18452261605.359657, 28, 4
16384, 475.717385, 18490165168.565365, 28, 4
16384, 475.314004, 18505857071.713795, 28, 4
16384, 475.346066, 18504608855.241898, 28, 4
16384, 474.711118, 18529359622.472546, 28, 4
16384, 495.005139, 17769700411.550678, 28, 8
16384, 496.542228, 17714692781.794983, 28, 8
16384, 500.939166, 17559204029.592686, 28, 8
16384, 499.704287, 17602596677.758739, 28, 8
16384, 506.562984, 17364263280.255787, 28, 8
16384, 502.834977, 17493001530.416611, 28, 8
16384, 506.716231, 17359011778.345818, 28, 8
16384, 499.111156, 17623515155.826332, 28, 8
16384, 499.849059, 17597498412.431740, 28, 8
16384, 503.382629, 17473970128.214336, 28, 8
